Institute,Academic Program Name,Seat Type,Gender,Opening Rank,Closing Rank,Year,Round,Has_P
Indian Institute of Technology Bombay,"Engineering Physics (4 Years, Bachelor of Technology)",OPEN,,6,1041,2016,6,FALSE
Indian Institute of Technology Bombay,"Engineering Physics (4 Years, Bachelor of Technology)",OPEN (PwD),,43,43,2016,6,FALSE
Indian Institute of Technology Bombay,"Engineering Physics (4 Years, Bachelor of Technology)",OBC-NCL,,283,796,2016,6,FALSE
Indian Institute of Technology Bombay,"Engineering Physics (4 Years, Bachelor of Technology)",SC,,360,763,2016,6,FALSE
Indian Institute of Technology Bombay,"Engineering Physics (4 Years, Bachelor of Technology)",ST,,204,337,2016,6,FALSE
Indian Institute of Technology Bombay,"Engineering Physics and M.Tech. with specialization in Nano Science (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,,1092,1843,2016,6,FALSE
Indian Institute of Technology Bombay,"Engineering Physics and M.Tech. with specialization in Nano Science (5 Years, Bachelor and Master of Technology (Dual Degree))",OBC-NCL,,477,928,2016,6,FALSE
Indian Institute of Technology Bombay,"Engineering Physics and M.Tech. with specialization in Nano Science (5 Years, Bachelor and Master of Technology (Dual Degree))",OBC-NCL (PwD),,50,50,2016,6,FALSE
Indian Institute of Technology Bombay,"Engineering Physics and M.Tech. with specialization in Nano Science (5 Years, Bachelor and Master of Technology (Dual Degree))",SC,,801,812,2016,6,FALSE
Indian Institute of Technology Bombay,"Engineering Physics and M.Tech. with specialization in Nano Science (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,,368,368,2016,6,FALSE
Indian Institute of Technology Bombay,"Mechanical Engineering (4 Years, Bachelor of Technology)",OPEN,,26,777,2016,6,FALSE
Indian Institute of Technology Bombay,"Mechanical Engineering (4 Years, Bachelor of Technology)",OPEN (PwD),,13,13,2016,6,FALSE
Indian Institute of Technology Bombay,"Mechanical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,,104,371,2016,6,FALSE
Indian Institute of Technology Bombay,"Mechanical Engineering (4 Years, Bachelor of Technology)",OBC-NCL (PwD),,8,8,2016,6,FALSE
Indian Institute of Technology Bombay,"Mechanical Engineering (4 Years, Bachelor of Technology)",SC,,33,164,2016,6,FALSE
Indian Institute of Technology Bombay,"Mechanical Engineering (4 Years, Bachelor of Technology)",ST,,29,117,2016,6,FALSE
Indian Institute of Technology Bombay,"Mechanical Engineering and M.Tech. in Computer Integrated Manufacturing (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,,803,901,2016,6,FALSE
Indian Institute of Technology Bombay,"Mechanical Engineering and M.Tech. in Computer Integrated Manufacturing (5 Years, Bachelor and Master of Technology (Dual Degree))",OBC-NCL,,428,484,2016,6,FALSE
Indian Institute of Technology Bombay,"Mechanical Engineering and M.Tech. in Computer Integrated Manufacturing (5 Years, Bachelor and Master of Technology (Dual Degree))",SC,,189,284,2016,6,FALSE
Indian Institute of Technology Bombay,"Mechanical Engineering and M.Tech. in Computer Integrated Manufacturing (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,,56,133,2016,6,FALSE
Indian Institute of Technology Bombay,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",OPEN,,1657,2971,2016,6,FALSE
Indian Institute of Technology Bombay,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",OPEN (PwD),,104,104,2016,6,FALSE
Indian Institute of Technology Bombay,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",OBC-NCL,,1015,1647,2016,6,FALSE
Indian Institute of Technology Bombay,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",SC,,602,929,2016,6,FALSE
Indian Institute of Technology Bombay,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",ST,,333,580,2016,6,FALSE
Indian Institute of Technology Bombay,"Metallurgical Engineering and Materials Science with M.Tech. in Ceramics and Composites (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,,3001,3450,2016,6,FALSE
Indian Institute of Technology Bombay,"Metallurgical Engineering and Materials Science with M.Tech. in Ceramics and Composites (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN (PwD),,60,60,2016,6,FALSE
Indian Institute of Technology Bombay,"Metallurgical Engineering and Materials Science with M.Tech. in Ceramics and Composites (5 Years, Bachelor and Master of Technology (Dual Degree))",OBC-NCL,,1560,1783,2016,6,FALSE
Indian Institute of Technology Bombay,"Metallurgical Engineering and Materials Science with M.Tech. in Ceramics and Composites (5 Years, Bachelor and Master of Technology (Dual Degree))",SC,,766,959,2016,6,FALSE
Indian Institute of Technology Bombay,"Metallurgical Engineering and Materials Science with M.Tech. in Ceramics and Composites (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,,384,384,2016,6,FALSE
Indian Institute of Technology Bombay,"Metallurgical Engineering and Materials Science with M.Tech. in Metallurgical Process Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,,3113,3403,2016,6,FALSE
Indian Institute of Technology Bombay,"Metallurgical Engineering and Materials Science with M.Tech. in Metallurgical Process Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OBC-NCL,,1665,1885,2016,6,FALSE
Indian Institute of Technology Bombay,"Metallurgical Engineering and Materials Science with M.Tech. in Metallurgical Process Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",SC,,998,1126,2016,6,FALSE
Indian Institute of Technology Bombay,"Metallurgical Engineering and Materials Science with M.Tech. in Metallurgical Process Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,,389,389,2016,6,FALSE
Indian Institute of Technology Mandi,"Civil Engineering (4 Years, Bachelor of Technology)",OPEN,,6162,7124,2016,6,FALSE
Indian Institute of Technology Mandi,"Civil Engineering (4 Years, Bachelor of Technology)",OBC-NCL,,1951,2668,2016,6,FALSE
Indian Institute of Technology Mandi,"Civil Engineering (4 Years, Bachelor of Technology)",SC,,1100,1341,2016,6,FALSE
Indian Institute of Technology Mandi,"Civil Engineering (4 Years, Bachelor of Technology)",ST,,338,404,2016,6,FALSE
Indian Institute of Technology Mandi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN,,1701,2450,2016,6,FALSE
Indian Institute of Technology Mandi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OBC-NCL,,821,1201,2016,6,FALSE
